Date	Traditional	Traditional with 5% BTC	Traditional with 5% Diversified 
1/01/2017	100	100	100
1/02/2017	102.1697	102.2034804	102.5981545
1/03/2017	103.9753967	105.1526235	105.9739632
1/04/2017	102.9124515	103.420242	111.7615756
1/05/2017	102.8550935	105.159018	120.4763248
1/06/2017	102.5276455	110.0029024	162.7162833
1/07/2017	103.8294628	111.3579392	165.7966784
1/08/2017	105.0777542	114.0445549	156.1590956
1/09/2017	103.679203	124.0195585	195.8580004
1/10/2017	107.5501649	125.1342759	176.0155904
1/11/2017	109.6337829	139.3920018	171.8949463
1/12/2017	110.2532452	161.8372543	232.1824179
1/01/2018	112.2927264	175.1712345	432.7228438
